Year;Month;Day;match;home_team;away_team;home_score;away_score;tournament;city;country;latitude;longitude;neutral;Winner;Loser;SG;Brasil
1966;7;13;France 1 x 1 Mexico;France;Mexico;1;1;FIFA World Cup;London;England;;;TRUE;Draw;Draw;0;#N/D
1966;7;13;Hungary 1 x 3 Portugal;Hungary;Portugal;1;3;FIFA World Cup;Manchester;England;;;TRUE;Portugal;Hungary;2;#N/D
1966;7;15;Brazil 1 x 3 Hungary;Brazil;Hungary;1;3;FIFA World Cup;Liverpool;England;;;TRUE;Hungary;Brazil;2;BR
1966;7;15;Chile 1 x 1 North Korea;Chile;North Korea;1;1;FIFA World Cup;Middlesbrough;England;;;TRUE;Draw;Draw;0;#N/D
1966;7;15;France 1 x 2 Uruguay;France;Uruguay;1;2;FIFA World Cup;London;England;;;TRUE;Uruguay;France;1;#N/D
1966;7;15;Spain 2 x 1 Switzerland;Spain;Switzerland;2;1;FIFA World Cup;Sheffield;England;;;TRUE;Spain;Switzerland;1;#N/D
1966;7;16;Argentina 0 x 0 Germany;Argentina;Germany;0;0;FIFA World Cup;Birmingham;England;;;TRUE;Draw;Draw;0;#N/D
1966;7;16;Bulgaria 0 x 3 Portugal;Bulgaria;Portugal;0;3;FIFA World Cup;Manchester;England;;;TRUE;Portugal;Bulgaria;3;#N/D
1966;7;16;England 2 x 0 Mexico;England;Mexico;2;0;FIFA World Cup;London;England;;;FALSE;England;Mexico;2;#N/D
1966;7;16;Italy 0 x 1 Russia;Italy;Russia;0;1;FIFA World Cup;Sunderland;England;;;TRUE;Russia;Italy;1;#N/D
1966;7;19;Argentina 2 x 0 Switzerland;Argentina;Switzerland;2;0;FIFA World Cup;Sheffield;England;;;TRUE;Argentina;Switzerland;2;#N/D
1966;7;19;Brazil 1 x 3 Portugal;Brazil;Portugal;1;3;FIFA World Cup;Liverpool;England;;;TRUE;Portugal;Brazil;2;BR
1966;7;19;Italy 0 x 1 North Korea;Italy;North Korea;0;1;FIFA World Cup;Middlesbrough;England;;;TRUE;North Korea;Italy;1;#N/D
1966;7;19;Mexico 0 x 0 Uruguay;Mexico;Uruguay;0;0;FIFA World Cup;London;England;;;TRUE;Draw;Draw;0;#N/D
1966;7;20;Bulgaria 1 x 3 Hungary;Bulgaria;Hungary;1;3;FIFA World Cup;Manchester;England;;;TRUE;Hungary;Bulgaria;2;#N/D
1966;7;20;Chile 1 x 2 Russia;Chile;Russia;1;2;FIFA World Cup;Sunderland;England;;;TRUE;Russia;Chile;1;#N/D
1966;7;20;England 2 x 0 France;England;France;2;0;FIFA World Cup;London;England;;;FALSE;England;France;2;#N/D
1966;7;20;Germany 2 x 1 Spain;Germany;Spain;2;1;FIFA World Cup;Birmingham;England;;;TRUE;Germany;Spain;1;#N/D
1966;7;23;England 1 x 0 Argentina;England;Argentina;1;0;FIFA World Cup;London;England;;;FALSE;England;Argentina;1;#N/D
1966;7;23;Germany 4 x 0 Uruguay;Germany;Uruguay;4;0;FIFA World Cup;Sheffield;England;;;TRUE;Germany;Uruguay;4;#N/D
1966;7;23;Hungary 1 x 2 Russia;Hungary;Russia;1;2;FIFA World Cup;Sunderland;England;;;TRUE;Russia;Hungary;1;#N/D
1966;7;23;North Korea 3 x 5 Portugal;North Korea;Portugal;3;5;FIFA World Cup;Liverpool;England;;;TRUE;Portugal;North Korea;2;#N/D
1966;7;25;Germany 2 x 1 Russia;Germany;Russia;2;1;FIFA World Cup;Liverpool;England;;;TRUE;Germany;Russia;1;#N/D
1966;7;26;England 2 x 1 Portugal;England;Portugal;2;1;FIFA World Cup;London;England;;;FALSE;England;Portugal;1;#N/D
1966;7;28;Portugal 2 x 1 Russia;Portugal;Russia;2;1;FIFA World Cup;London;England;;;TRUE;Portugal;Russia;1;#N/D
1966;7;30;England 4 x 2 Germany;England;Germany;4;2;FIFA World Cup;London;England;;;FALSE;England;Germany;2;#N/D
1970;5;31;Mexico 0 x 0 Russia;Mexico;Russia;0;0;FIFA World Cup;Mexico City;Mexico;;;FALSE;Draw;Draw;0;#N/D
1970;6;2;Bulgaria 2 x 3 Peru;Bulgaria;Peru;2;3;FIFA World Cup;León;Mexico;;;TRUE;Peru;Bulgaria;1;#N/D
1970;6;2;England 1 x 0 Romania;England;Romania;1;0;FIFA World Cup;Guadalajara;Mexico;;;TRUE;England;Romania;1;#N/D
1970;6;2;Israel 0 x 2 Uruguay;Israel;Uruguay;0;2;FIFA World Cup;Puebla;Mexico;;;TRUE;Uruguay;Israel;2;#N/D
1970;6;3;Belgium 3 x 0 El Salvador;Belgium;El Salvador;3;0;FIFA World Cup;Mexico City;Mexico;;;TRUE;Belgium;El Salvador;3;#N/D
1970;6;3;Brazil 4 x 1 Czechoslovakia;Brazil;Czechoslovakia;4;1;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Brazil;Czechoslovakia;3;BR
1970;6;3;Germany 2 x 1 Morocco;Germany;Morocco;2;1;FIFA World Cup;León;Mexico;;;TRUE;Germany;Morocco;1;#N/D
1970;6;3;Italy 1 x 0 Sweden;Italy;Sweden;1;0;FIFA World Cup;Toluca;Mexico;;;TRUE;Italy;Sweden;1;#N/D
1970;6;6;Belgium 1 x 4 Russia;Belgium;Russia;1;4;FIFA World Cup;Mexico City;Mexico;;;TRUE;Russia;Belgium;3;#N/D
1970;6;6;Czechoslovakia 1 x 2 Romania;Czechoslovakia;Romania;1;2;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Romania;Czechoslovakia;1;#N/D
1970;6;6;Italy 0 x 0 Uruguay;Italy;Uruguay;0;0;FIFA World Cup;Puebla;Mexico;;;TRUE;Draw;Draw;0;#N/D
1970;6;6;Morocco 0 x 3 Peru;Morocco;Peru;0;3;FIFA World Cup;León;Mexico;;;TRUE;Peru;Morocco;3;#N/D
1970;6;7;Brazil 1 x 0 England;Brazil;England;1;0;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Brazil;England;1;BR
1970;6;7;Bulgaria 2 x 5 Germany;Bulgaria;Germany;2;5;FIFA World Cup;León;Mexico;;;TRUE;Germany;Bulgaria;3;#N/D
1970;6;7;Israel 1 x 1 Sweden;Israel;Sweden;1;1;FIFA World Cup;Toluca;Mexico;;;TRUE;Draw;Draw;0;#N/D
1970;6;7;Mexico 4 x 0 El Salvador;Mexico;El Salvador;4;0;FIFA World Cup;Mexico City;Mexico;;;FALSE;Mexico;El Salvador;4;#N/D
1970;6;10;Brazil 3 x 2 Romania;Brazil;Romania;3;2;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Brazil;Romania;1;BR
1970;6;10;El Salvador 0 x 2 Russia;El Salvador;Russia;0;2;FIFA World Cup;Mexico City;Mexico;;;TRUE;Russia;El Salvador;2;#N/D
1970;6;10;Germany 3 x 1 Peru;Germany;Peru;3;1;FIFA World Cup;León;Mexico;;;TRUE;Germany;Peru;2;#N/D
1970;6;10;Sweden 1 x 0 Uruguay;Sweden;Uruguay;1;0;FIFA World Cup;Puebla;Mexico;;;TRUE;Sweden;Uruguay;1;#N/D
1970;6;11;Bulgaria 1 x 1 Morocco;Bulgaria;Morocco;1;1;FIFA World Cup;León;Mexico;;;TRUE;Draw;Draw;0;#N/D
1970;6;11;Czechoslovakia 0 x 1 England;Czechoslovakia;England;0;1;FIFA World Cup;Guadalajara;Mexico;;;TRUE;England;Czechoslovakia;1;#N/D
1970;6;11;Israel 0 x 0 Italy;Israel;Italy;0;0;FIFA World Cup;Toluca;Mexico;;;TRUE;Draw;Draw;0;#N/D
1970;6;11;Mexico 1 x 0 Belgium;Mexico;Belgium;1;0;FIFA World Cup;Mexico City;Mexico;;;FALSE;Mexico;Belgium;1;#N/D
1970;6;14;Brazil 4 x 2 Peru;Brazil;Peru;4;2;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Brazil;Peru;2;BR
1970;6;14;England 2 x 3 Germany;England;Germany;2;3;FIFA World Cup;León;Mexico;;;TRUE;Germany;England;1;#N/D
1970;6;14;Mexico 1 x 4 Italy;Mexico;Italy;1;4;FIFA World Cup;Toluca;Mexico;;;FALSE;Italy;Mexico;3;#N/D
1970;6;14;Russia 0 x 1 Uruguay;Russia;Uruguay;0;1;FIFA World Cup;Mexico City;Mexico;;;TRUE;Uruguay;Russia;1;#N/D
1970;6;17;Brazil 3 x 1 Uruguay;Brazil;Uruguay;3;1;FIFA World Cup;Guadalajara;Mexico;;;TRUE;Brazil;Uruguay;2;BR
1970;6;17;Germany 3 x 4 Italy;Germany;Italy;3;4;FIFA World Cup;Mexico City;Mexico;;;TRUE;Italy;Germany;1;#N/D
1970;6;20;Germany 1 x 0 Uruguay;Germany;Uruguay;1;0;FIFA World Cup;Mexico City;Mexico;;;TRUE;Germany;Uruguay;1;#N/D
1970;6;21;Brazil 4 x 1 Italy;Brazil;Italy;4;1;FIFA World Cup;Mexico City;Mexico;;;TRUE;Brazil;Italy;3;BR
1974;6;13;Brazil 0 x 0 Yugoslavia;Brazil;Yugoslavia;0;0;FIFA World Cup;Frankfurt am Main;Germany;;;TRUE;Draw;Draw;0;BR
1974;6;14;DR Congo 0 x 2 Scotland;DR Congo;Scotland;0;2;FIFA World Cup;Dortmund;Germany;;;TRUE;Scotland;DR Congo;2;#N/D
1974;6;14;German DR 2 x 0 Australia;German DR;Australia;2;0;FIFA World Cup;Hamburg;Germany;;;TRUE;German DR;Australia;2;#N/D
1974;6;14;Germany 1 x 0 Chile;Germany;Chile;1;0;FIFA World Cup;Berlin;Germany;;;FALSE;Germany;Chile;1;#N/D
1974;6;15;Italy 3 x 1 Haiti;Italy;Haiti;3;1;FIFA World Cup;Munich;Germany;;;TRUE;Italy;Haiti;2;#N/D
1974;6;15;Poland 3 x 2 Argentina;Poland;Argentina;3;2;FIFA World Cup;Stuttgart;Germany;;;TRUE;Poland;Argentina;1;#N/D
1974;6;15;Sweden 0 x 0 Bulgaria;Sweden;Bulgaria;0;0;FIFA World Cup;Düsseldorf;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;15;Uruguay 0 x 2 Netherlands;Uruguay;Netherlands;0;2;FIFA World Cup;Hanover;Germany;;;TRUE;Netherlands;Uruguay;2;#N/D
1974;6;18;Chile 1 x 1 German DR;Chile;German DR;1;1;FIFA World Cup;Berlin;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;18;Germany 3 x 0 Australia;Germany;Australia;3;0;FIFA World Cup;Hamburg;Germany;;;FALSE;Germany;Australia;3;#N/D
1974;6;18;Scotland 0 x 0 Brazil;Scotland;Brazil;0;0;FIFA World Cup;Frankfurt am Main;Germany;;;TRUE;Draw;Draw;0;BR
1974;6;18;Yugoslavia 9 x 0 DR Congo;Yugoslavia;DR Congo;9;0;FIFA World Cup;Gelsenkirchen;Germany;;;TRUE;Yugoslavia;DR Congo;9;#N/D
1974;6;19;Argentina 1 x 1 Italy;Argentina;Italy;1;1;FIFA World Cup;Stuttgart;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;19;Bulgaria 1 x 1 Uruguay;Bulgaria;Uruguay;1;1;FIFA World Cup;Hanover;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;19;Haiti 0 x 7 Poland;Haiti;Poland;0;7;FIFA World Cup;Munich;Germany;;;TRUE;Poland;Haiti;7;#N/D
1974;6;19;Netherlands 0 x 0 Sweden;Netherlands;Sweden;0;0;FIFA World Cup;Dortmund;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;22;Australia 0 x 0 Chile;Australia;Chile;0;0;FIFA World Cup;Berlin;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;22;DR Congo 0 x 3 Brazil;DR Congo;Brazil;0;3;FIFA World Cup;Gelsenkirchen;Germany;;;TRUE;Brazil;DR Congo;3;BR
1974;6;22;Germany 0 x 1 German DR;Germany;German DR;0;1;FIFA World Cup;Hamburg;Germany;;;FALSE;German DR;Germany;1;#N/D
1974;6;22;Scotland 1 x 1 Yugoslavia;Scotland;Yugoslavia;1;1;FIFA World Cup;Frankfurt am Main;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;6;23;Argentina 4 x 1 Haiti;Argentina;Haiti;4;1;FIFA World Cup;Munich;Germany;;;TRUE;Argentina;Haiti;3;#N/D
1974;6;23;Bulgaria 1 x 4 Netherlands;Bulgaria;Netherlands;1;4;FIFA World Cup;Dortmund;Germany;;;TRUE;Netherlands;Bulgaria;3;#N/D
1974;6;23;Poland 2 x 1 Italy;Poland;Italy;2;1;FIFA World Cup;Stuttgart;Germany;;;TRUE;Poland;Italy;1;#N/D
1974;6;23;Sweden 3 x 0 Uruguay;Sweden;Uruguay;3;0;FIFA World Cup;Düsseldorf;Germany;;;TRUE;Sweden;Uruguay;3;#N/D
1974;6;26;Brazil 1 x 0 German DR;Brazil;German DR;1;0;FIFA World Cup;Hanover;Germany;;;TRUE;Brazil;German DR;1;BR
1974;6;26;Germany 2 x 0 Yugoslavia;Germany;Yugoslavia;2;0;FIFA World Cup;Düsseldorf;Germany;;;FALSE;Germany;Yugoslavia;2;#N/D
1974;6;26;Netherlands 4 x 0 Argentina;Netherlands;Argentina;4;0;FIFA World Cup;Gelsenkirchen;Germany;;;TRUE;Netherlands;Argentina;4;#N/D
1974;6;26;Sweden 0 x 1 Poland;Sweden;Poland;0;1;FIFA World Cup;Stuttgart;Germany;;;TRUE;Poland;Sweden;1;#N/D
1974;6;30;Argentina 1 x 2 Brazil;Argentina;Brazil;1;2;FIFA World Cup;Hanover;Germany;;;TRUE;Brazil;Argentina;1;BR
1974;6;30;German DR 0 x 2 Netherlands;German DR;Netherlands;0;2;FIFA World Cup;Gelsenkirchen;Germany;;;TRUE;Netherlands;German DR;2;#N/D
1974;6;30;Germany 4 x 2 Sweden;Germany;Sweden;4;2;FIFA World Cup;Düsseldorf;Germany;;;FALSE;Germany;Sweden;2;#N/D
1974;6;30;Poland 2 x 1 Yugoslavia;Poland;Yugoslavia;2;1;FIFA World Cup;Frankfurt am Main;Germany;;;TRUE;Poland;Yugoslavia;1;#N/D
1974;7;3;Argentina 1 x 1 German DR;Argentina;German DR;1;1;FIFA World Cup;Gelsenkirchen;Germany;;;TRUE;Draw;Draw;0;#N/D
1974;7;3;Germany 1 x 0 Poland;Germany;Poland;1;0;FIFA World Cup;Frankfurt am Main;Germany;;;FALSE;Germany;Poland;1;#N/D
1974;7;3;Netherlands 2 x 0 Brazil;Netherlands;Brazil;2;0;FIFA World Cup;Dortmund;Germany;;;TRUE;Netherlands;Brazil;2;BR
1974;7;3;Sweden 2 x 1 Yugoslavia;Sweden;Yugoslavia;2;1;FIFA World Cup;Düsseldorf;Germany;;;TRUE;Sweden;Yugoslavia;1;#N/D
1974;7;6;Brazil 0 x 1 Poland;Brazil;Poland;0;1;FIFA World Cup;Munich;Germany;;;TRUE;Poland;Brazil;1;BR
1974;7;7;Germany 2 x 1 Netherlands;Germany;Netherlands;2;1;FIFA World Cup;Munich;Germany;;;FALSE;Germany;Netherlands;1;#N/D
1978;6;1;Germany 0 x 0 Poland;Germany;Poland;0;0;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;2;Argentina 2 x 1 Hungary;Argentina;Hungary;2;1;FIFA World Cup;Buenos Aires;Argentina;;;FALSE;Argentina;Hungary;1;#N/D
1978;6;2;France 1 x 2 Italy;France;Italy;1;2;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;Italy;France;1;#N/D
1978;6;2;Mexico 1 x 3 Tunisia;Mexico;Tunisia;1;3;FIFA World Cup;Rosario;Argentina;;;TRUE;Tunisia;Mexico;2;#N/D
1978;6;3;Austria 2 x 1 Spain;Austria;Spain;2;1;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Austria;Spain;1;#N/D
1978;6;3;Brazil 1 x 1 Sweden;Brazil;Sweden;1;1;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;Draw;Draw;0;BR
1978;6;3;Iran 0 x 3 Netherlands;Iran;Netherlands;0;3;FIFA World Cup;Mendoza;Argentina;;;TRUE;Netherlands;Iran;3;#N/D
1978;6;3;Peru 3 x 1 Scotland;Peru;Scotland;3;1;FIFA World Cup;Córdoba;Argentina;;;TRUE;Peru;Scotland;2;#N/D
1978;6;6;Argentina 2 x 1 France;Argentina;France;2;1;FIFA World Cup;Buenos Aires;Argentina;;;FALSE;Argentina;France;1;#N/D
1978;6;6;Germany 6 x 0 Mexico;Germany;Mexico;6;0;FIFA World Cup;Córdoba;Argentina;;;TRUE;Germany;Mexico;6;#N/D
1978;6;6;Hungary 1 x 3 Italy;Hungary;Italy;1;3;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;Italy;Hungary;2;#N/D
1978;6;6;Poland 1 x 0 Tunisia;Poland;Tunisia;1;0;FIFA World Cup;Rosario;Argentina;;;TRUE;Poland;Tunisia;1;#N/D
1978;6;7;Austria 1 x 0 Sweden;Austria;Sweden;1;0;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Austria;Sweden;1;#N/D
1978;6;7;Brazil 0 x 0 Spain;Brazil;Spain;0;0;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;Draw;Draw;0;BR
1978;6;7;Iran 1 x 1 Scotland;Iran;Scotland;1;1;FIFA World Cup;Córdoba;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;7;Netherlands 0 x 0 Peru;Netherlands;Peru;0;0;FIFA World Cup;Mendoza;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;10;Argentina 0 x 1 Italy;Argentina;Italy;0;1;FIFA World Cup;Buenos Aires;Argentina;;;FALSE;Italy;Argentina;1;#N/D
1978;6;10;France 3 x 1 Hungary;France;Hungary;3;1;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;France;Hungary;2;#N/D
1978;6;10;Germany 0 x 0 Tunisia;Germany;Tunisia;0;0;FIFA World Cup;Córdoba;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;10;Mexico 1 x 3 Poland;Mexico;Poland;1;3;FIFA World Cup;Rosario;Argentina;;;TRUE;Poland;Mexico;2;#N/D
1978;6;11;Austria 0 x 1 Brazil;Austria;Brazil;0;1;FIFA World Cup;Mar del Plata;Argentina;;;TRUE;Brazil;Austria;1;BR
1978;6;11;Iran 1 x 4 Peru;Iran;Peru;1;4;FIFA World Cup;Córdoba;Argentina;;;TRUE;Peru;Iran;3;#N/D
1978;6;11;Netherlands 2 x 3 Scotland;Netherlands;Scotland;2;3;FIFA World Cup;Mendoza;Argentina;;;TRUE;Scotland;Netherlands;1;#N/D
1978;6;11;Spain 1 x 0 Sweden;Spain;Sweden;1;0;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Spain;Sweden;1;#N/D
1978;6;14;Argentina 2 x 0 Poland;Argentina;Poland;2;0;FIFA World Cup;Rosario;Argentina;;;FALSE;Argentina;Poland;2;#N/D
1978;6;14;Austria 1 x 5 Netherlands;Austria;Netherlands;1;5;FIFA World Cup;Córdoba;Argentina;;;TRUE;Netherlands;Austria;4;#N/D
1978;6;14;Brazil 3 x 0 Peru;Brazil;Peru;3;0;FIFA World Cup;Mendoza;Argentina;;;TRUE;Brazil;Peru;3;BR
1978;6;14;Germany 0 x 0 Italy;Germany;Italy;0;0;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;18;Argentina 0 x 0 Brazil;Argentina;Brazil;0;0;FIFA World Cup;Rosario;Argentina;;;FALSE;Draw;Draw;0;BR
1978;6;18;Austria 0 x 1 Italy;Austria;Italy;0;1;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Italy;Austria;1;#N/D
1978;6;18;Germany 2 x 2 Netherlands;Germany;Netherlands;2;2;FIFA World Cup;Córdoba;Argentina;;;TRUE;Draw;Draw;0;#N/D
1978;6;18;Peru 0 x 1 Poland;Peru;Poland;0;1;FIFA World Cup;Mendoza;Argentina;;;TRUE;Poland;Peru;1;#N/D
1978;6;21;Argentina 6 x 0 Peru;Argentina;Peru;6;0;FIFA World Cup;Rosario;Argentina;;;FALSE;Argentina;Peru;6;#N/D
1978;6;21;Austria 3 x 2 Germany;Austria;Germany;3;2;FIFA World Cup;Córdoba;Argentina;;;TRUE;Austria;Germany;1;#N/D
1978;6;21;Brazil 3 x 1 Poland;Brazil;Poland;3;1;FIFA World Cup;Mendoza;Argentina;;;TRUE;Brazil;Poland;2;BR
1978;6;21;Italy 1 x 2 Netherlands;Italy;Netherlands;1;2;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Netherlands;Italy;1;#N/D
1978;6;24;Brazil 2 x 1 Italy;Brazil;Italy;2;1;FIFA World Cup;Buenos Aires;Argentina;;;TRUE;Brazil;Italy;1;BR
1978;6;25;Argentina 3 x 1 Netherlands;Argentina;Netherlands;3;1;FIFA World Cup;Buenos Aires;Argentina;;;FALSE;Argentina;Netherlands;2;#N/D
1982;6;13;Argentina 0 x 1 Belgium;Argentina;Belgium;0;1;FIFA World Cup;Barcelona;Spain;;;TRUE;Belgium;Argentina;1;#N/D
1982;6;14;Brazil 2 x 1 Russia;Brazil;Russia;2;1;FIFA World Cup;Seville;Spain;;;TRUE;Brazil;Russia;1;BR
1982;6;14;Italy 0 x 0 Poland;Italy;Poland;0;0;FIFA World Cup;Vigo;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;15;Hungary 10 x 1 El Salvador;Hungary;El Salvador;10;1;FIFA World Cup;Elche;Spain;;;TRUE;Hungary;El Salvador;9;#N/D
1982;6;15;Peru 0 x 0 Cameroon;Peru;Cameroon;0;0;FIFA World Cup;La Coruña;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;15;Scotland 5 x 2 New Zealand;Scotland;New Zealand;5;2;FIFA World Cup;Málaga;Spain;;;TRUE;Scotland;New Zealand;3;#N/D
1982;6;16;England 3 x 1 France;England;France;3;1;FIFA World Cup;Bilbao;Spain;;;TRUE;England;France;2;#N/D
1982;6;16;Germany 1 x 2 Algeria;Germany;Algeria;1;2;FIFA World Cup;Gijón;Spain;;;TRUE;Algeria;Germany;1;#N/D
1982;6;16;Spain 1 x 1 Honduras;Spain;Honduras;1;1;FIFA World Cup;Valencia;Spain;;;FALSE;Draw;Draw;0;#N/D
1982;6;17;Chile 0 x 1 Austria;Chile;Austria;0;1;FIFA World Cup;Oviedo;Spain;;;TRUE;Austria;Chile;1;#N/D
1982;6;17;Czechoslovakia 1 x 1 Kuwait;Czechoslovakia;Kuwait;1;1;FIFA World Cup;Valladolid;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;17;Yugoslavia 0 x 0 Northern Ireland;Yugoslavia;Northern Ireland;0;0;FIFA World Cup;Zaragoza;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;18;Argentina 4 x 1 Hungary;Argentina;Hungary;4;1;FIFA World Cup;Alicante;Spain;;;TRUE;Argentina;Hungary;3;#N/D
1982;6;18;Brazil 4 x 1 Scotland;Brazil;Scotland;4;1;FIFA World Cup;Seville;Spain;;;TRUE;Brazil;Scotland;3;BR
1982;6;18;Italy 1 x 1 Peru;Italy;Peru;1;1;FIFA World Cup;Vigo;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;19;Belgium 1 x 0 El Salvador;Belgium;El Salvador;1;0;FIFA World Cup;Elche;Spain;;;TRUE;Belgium;El Salvador;1;#N/D
1982;6;19;Poland 0 x 0 Cameroon;Poland;Cameroon;0;0;FIFA World Cup;La Coruña;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;19;Russia 3 x 0 New Zealand;Russia;New Zealand;3;0;FIFA World Cup;Málaga;Spain;;;TRUE;Russia;New Zealand;3;#N/D
1982;6;20;England 2 x 0 Czechoslovakia;England;Czechoslovakia;2;0;FIFA World Cup;Bilbao;Spain;;;TRUE;England;Czechoslovakia;2;#N/D
1982;6;20;Germany 4 x 1 Chile;Germany;Chile;4;1;FIFA World Cup;Gijón;Spain;;;TRUE;Germany;Chile;3;#N/D
1982;6;20;Spain 2 x 1 Yugoslavia;Spain;Yugoslavia;2;1;FIFA World Cup;Valencia;Spain;;;FALSE;Spain;Yugoslavia;1;#N/D
1982;6;21;Algeria 0 x 2 Austria;Algeria;Austria;0;2;FIFA World Cup;Oviedo;Spain;;;TRUE;Austria;Algeria;2;#N/D
1982;6;21;France 4 x 1 Kuwait;France;Kuwait;4;1;FIFA World Cup;Valladolid;Spain;;;TRUE;France;Kuwait;3;#N/D
1982;6;21;Honduras 1 x 1 Northern Ireland;Honduras;Northern Ireland;1;1;FIFA World Cup;Zaragoza;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;22;Belgium 1 x 1 Hungary;Belgium;Hungary;1;1;FIFA World Cup;Elche;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;22;Poland 5 x 1 Peru;Poland;Peru;5;1;FIFA World Cup;La Coruña;Spain;;;TRUE;Poland;Peru;4;#N/D
1982;6;22;Russia 2 x 2 Scotland;Russia;Scotland;2;2;FIFA World Cup;Málaga;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;23;Argentina 2 x 0 El Salvador;Argentina;El Salvador;2;0;FIFA World Cup;Alicante;Spain;;;TRUE;Argentina;El Salvador;2;#N/D
1982;6;23;Brazil 4 x 0 New Zealand;Brazil;New Zealand;4;0;FIFA World Cup;Seville;Spain;;;TRUE;Brazil;New Zealand;4;BR
1982;6;23;Italy 1 x 1 Cameroon;Italy;Cameroon;1;1;FIFA World Cup;Vigo;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;24;Algeria 3 x 2 Chile;Algeria;Chile;3;2;FIFA World Cup;Oviedo;Spain;;;TRUE;Algeria;Chile;1;#N/D
1982;6;24;France 1 x 1 Czechoslovakia;France;Czechoslovakia;1;1;FIFA World Cup;Valladolid;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;24;Honduras 0 x 1 Yugoslavia;Honduras;Yugoslavia;0;1;FIFA World Cup;Zaragoza;Spain;;;TRUE;Yugoslavia;Honduras;1;#N/D
1982;6;25;England 1 x 0 Kuwait;England;Kuwait;1;0;FIFA World Cup;Bilbao;Spain;;;TRUE;England;Kuwait;1;#N/D
1982;6;25;Germany 1 x 0 Austria;Germany;Austria;1;0;FIFA World Cup;Gijón;Spain;;;TRUE;Germany;Austria;1;#N/D
1982;6;25;Spain 0 x 1 Northern Ireland;Spain;Northern Ireland;0;1;FIFA World Cup;Valencia;Spain;;;FALSE;Northern Ireland;Spain;1;#N/D
1982;6;28;Austria 0 x 1 France;Austria;France;0;1;FIFA World Cup;Madrid;Spain;;;TRUE;France;Austria;1;#N/D
1982;6;28;Poland 3 x 0 Belgium;Poland;Belgium;3;0;FIFA World Cup;Barcelona;Spain;;;TRUE;Poland;Belgium;3;#N/D
1982;6;29;Germany 0 x 0 England;Germany;England;0;0;FIFA World Cup;Madrid;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;6;29;Italy 2 x 1 Argentina;Italy;Argentina;2;1;FIFA World Cup;Barcelona;Spain;;;TRUE;Italy;Argentina;1;#N/D
1982;7;1;Austria 2 x 2 Northern Ireland;Austria;Northern Ireland;2;2;FIFA World Cup;Madrid;Spain;;;TRUE;Draw;Draw;0;#N/D
1982;7;1;Belgium 0 x 1 Russia;Belgium;Russia;0;1;FIFA World Cup;Barcelona;Spain;;;TRUE;Russia;Belgium;1;#N/D
1982;7;2;Argentina 1 x 3 Brazil;Argentina;Brazil;1;3;FIFA World Cup;Barcelona;Spain;;;TRUE;Brazil;Argentina;2;BR
1982;7;2;Spain 1 x 2 Germany;Spain;Germany;1;2;FIFA World Cup;Madrid;Spain;;;FALSE;Germany;Spain;1;#N/D
1982;7;4;France 4 x 1 Northern Ireland;France;Northern Ireland;4;1;FIFA World Cup;Madrid;Spain;;;TRUE;France;Northern Ireland;3;#N/D
